person_ctry_code,year,B60L,H01M,F03D,H01L,B60L_RTA,H01M_RTA,F03D_RTA,H01L_RTA
IT,2004,15.8556709957,280.625653488,49.2520833333,529.348146465,0.377080232091,0.596245915114,0.779647188789,0.236306357412
IT,2007,30.943523606,225.931240131,64.6952380952,564.102103918,0.629245500106,0.435636463924,0.849970910199,0.24074491593
IT,2010,20.2279220779,134.989357864,126.121167027,568.119850709,0.352381628881,0.316808411717,0.973051550995,0.306016763161
JP,1998,282.644498043,3332.09665908,6.75952380952,17311.5081873,1.67892242998,2.2121791761,0.0568303941518,1.99952618779
JP,2001,362.092657347,5489.2495827,37.6050685426,23600.2095491,1.53516266188,2.29668466246,0.158846347369,1.88526792824
JP,2004,505.771472791,7768.95267967,197.972743923,32658.2858296,1.65403298451,2.26987122335,0.43094278103,2.00478632183
JP,2007,867.556928743,10482.7976506,172.553415103,40470.7006876,1.97336787364,2.2609182501,0.253580015925,1.93196763756
JP,2010,1040.79928647,10087.3809128,691.771421634,37848.1223249,1.77476250554,2.31732456738,0.522422360893,1.9955419598
KR,1998,109.073809524,797.322661489,14.75,15856.3527856,1.30390201587,1.06529820767,0.249569188093,3.68578391669
KR,2001,140.100396825,1621.9807001,118.4,22401.2832563,0.889126328329,1.0158357649,0.748638184831,2.67867202548
KR,2004,163.900209235,2459.3626321,117.575,22542.6091808,1.0597484251,1.42067503494,0.506014114323,2.73597624648
KR,2007,338.634506735,7220.84825359,321.540079365,44022.0733152,0.939610051297,1.8997753469,0.576411919285,2.5635157429
KR,2010,746.73664843,6184.75155012,1265.13492063,37325.2072841,1.29390451009,1.44375068924,0.970861961297,1.99977094812
LT,1998,0.0,0.0,0.5,1.23333333333,0.0,0.0,3.36461078189,0.11401786966
LT,2001,0.0,0.0,0.8,0.966666666667,0.0,0.0,4.66118320647,0.106514639398
LT,2004,0.0,1.0,0.8,1.86588966589,0.0,0.360998371566,2.15164537569,0.141523044991
LT,2007,0.0,0.0,1.0,5.13226773227,0.0,0.0,2.43196756253,0.405447605516
LT,2010,0.166666666667,0.166666666667,11.6666666667,7.55731292517,0.304166459339,0.0409775990168,9.4296428519,0.426455032996
LU,1998,0.5,23.5015873016,0.0,4.20833333333,0.53416423091,2.80617407329,0.0,0.0874212529258
LU,2001,0.0,22.9136243386,0.0,2.6005952381,0.0,1.57290460273,0.0,0.0340839708574
LU,2004,0.0,14.4411221054,1.40625,10.4726190476,0.0,0.871618607566,0.632358780242,0.132805732291
LU,2007,0.283333333333,15.2555555556,9.1875,24.8144444444,0.145048406731,0.740527012875,3.03874346938,0.266605374964
LU,2010,0.405555555556,12.7047619048,19.1965277778,16.6497420635,0.124583580023,0.525789813618,2.61167429702,0.158147098183
LV,1998,0.0,5.5,13.1916666667,0.766666666667,0.0,2.05982220964,62.5645857156,0.0499531765649
LV,2001,0.0,3.0,21.5,0.0,0.0,1.21459534419,87.8802477942,0.0
LV,2004,1.0,0.5,11.0,0.0,3.50130694266,0.156404446697,25.63582166,0.0
LV,2007,1.0,0.0,0.0,0.025,3.59718029224,0.0,0.0,0.00188734487753
LV,2010,0.0,0.0,16.0,3.41666666667,0.0,0.0,17.2021085773,0.256461215904
MT,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,2001,0.0,0.0833333333333,0.0,0.129166666667,0.0,0.124769752338,0.0,0.0369240932363
MT,2004,0.0,0.666666666667,0.0,0.366666666667,0.0,0.712370119889,0.0,0.0823198075277
MT,2007,0.0,10.6966666667,0.0,3.54761904762,0.0,4.46802785296,0.0,0.32798641381
MT,2010,0.0,2.19428571429,0.533333333333,5.60714285714,0.0,0.652023513159,0.520978145483,0.382401672431
MX,1998,0.05,2.97916666667,0.0,2.72222222222,0.0917251709643,0.610837848869,0.0,0.0971055821411
MX,2001,0.0,1.44444444444,0.0,6.99079365079,0.0,0.135807834693,0.0,0.125492939712
MX,2004,1.0,9.08333333333,2.0,2.36563958917,0.547640316673,0.444415882944,0.72903735257,0.0243180564011
MX,2007,0.5,15.5087301587,6.5,6.29930555556,0.179965503075,0.529289265107,1.51152039595,0.0475840045048
MX,2010,1.89285714286,6.72222222222,13.4818181818,26.2776034151,0.341729980552,0.163498320118,1.07795241841,0.146687890694
NL,1998,5.92857142857,115.513158369,32.2,635.480513472,0.229285023672,0.499309355972,1.76260896344,0.477892225543
NL,2001,22.1035742036,242.356061901,54.475,1549.39445858,0.586161620795,0.634252915446,1.43928990651,0.774175478789
NL,2004,9.92067099567,167.198383324,76.5297619048,2185.5724341,0.212334352309,0.319712926188,1.09026971441,0.878070300483
NL,2007,5.49943787931,172.782412391,73.3447979798,2374.6485656,0.0946744075913,0.282040460252,0.815764885031,0.857951413078
NL,2010,10.4277777778,119.003481842,159.176587302,1756.05651194,0.157759191466,0.2425480339,1.06651747383,0.8214566662
PL,1998,5.70833333333,23.9656565657,14.75,37.4695048227,0.885710162173,0.415608333364,3.23928226408,0.113047861556
PL,2001,4.75,20.7708333333,23.2,43.0428715729,0.722158886048,0.311635398151,3.51417433084,0.123299957426
PL,2004,7.4375,20.2797619048,33.6666666667,36.6491266716,1.12159515381,0.273225295405,3.37935359465,0.103742723341
PL,2007,4.83333333333,29.4511904762,35.7833333333,40.4757583375,0.661034143691,0.381924558293,3.16183595281,0.116177276603
PL,2010,12.0,57.9099206349,87.6194444444,75.0313049715,0.745448916522,0.48464618399,2.41058815777,0.144119387545
PT,1998,0.0,1.33333333333,4.0,2.0101010101,0.0,0.350580511109,13.3189773957,0.0919509874245
PT,2001,0.0,0.171428571429,9.63333333333,11.89,0.0,0.0226724464248,12.8627616436,0.300238139803
PT,2004,0.0,2.10476190476,1.0,9.4627960928,0.0,0.20824576256,0.737137767599,0.196710998241
PT,2007,3.16666666667,4.83333333333,10.5,14.6611111111,1.90886562855,0.276259575898,4.08925036605,0.185476522729
PT,2010,3.66666666667,7.95625,17.4333333333,40.947706229,1.20296348092,0.351661334588,2.53307080139,0.41538791561
RO,1998,3.33333333333,7.16666666667,5.0,8.66666666667,1.91699217341,0.460650358089,4.0699218451,0.0969160674275
RO,2001,6.66666666667,4.0,8.75,7.74166666667,6.23699759886,0.36930104706,8.15588430088,0.136465805602
RO,2004,10.6666666667,4.4,1.5,17.0125,10.2686967299,0.378432291635,0.961174487693,0.307425304154
RO,2007,5.16666666667,5.59015151515,19.4166666667,21.3520238095,3.88729941234,0.398803273212,9.43829655469,0.337151927562
RO,2010,10.3166666667,7.03822751323,28.3,54.5787903763,2.96397592906,0.272416721001,3.60087123023,0.484844469473
RU,1998,8.625,25.329427736,15.0931818182,81.8711855445,2.30867591325,0.757777767857,5.71819738552,0.426125028342
RU,2001,9.51666666667,23.491047101,17.1666666667,115.862376281,1.68889835471,0.411409903778,3.03529423056,0.387421417371
RU,2004,53.45,160.357517895,135.333333333,335.712243879,1.55272230736,0.416182979626,2.61682833266,0.183061970409
RU,2007,71.9262626263,256.719856602,166.980555556,529.816454078,1.32695020381,0.449080480187,1.99028113898,0.205135878414
RU,2010,103.016666667,216.500467172,223.130555556,582.035368968,1.11804072885,0.316551339257,1.07249446599,0.195318227357
SA,1998,1.0,0.0,0.0,0.122685185185,14.6464385895,0.0,0.0,0.0349402697426
SA,2001,0.0,0.0,0.666666666667,0.930158730159,0.0,0.0,3.57253450886,0.0942651429175
SA,2004,0.0,1.04395604396,0.0,0.802777777778,0.0,0.374840268242,0.0,0.0605613197894
SA,2007,0.0,2.8625,0.0,2.95972222222,0.0,0.558385980615,0.0,0.127788399483
SA,2010,0.0,2.19305555556,0.2,5.83142857143,0.0,0.218677173238,0.0655593303879,0.133455617224
SE,1998,11.5879370629,57.4126373626,28.2666666667,574.600327992,0.405002098814,0.224270038174,1.39829953845,0.390498267397
SE,2001,8.68892675951,136.991831339,69.0543650794,572.593502701,0.241896193923,0.376366778553,1.91535906922,0.300352916747
SE,2004,4.88270757021,85.0304368745,57.5838095238,276.265812233,0.147870669263,0.230061867659,1.16076976691,0.157048335262
SE,2007,18.5384920635,101.400106838,27.9694444444,258.497948978,0.474076534334,0.245872553903,0.462103532796,0.138733137525
SE,2010,40.1676587302,95.6975468975,134.757539683,311.772655506,0.772833716623,0.248053599579,1.14828184223,0.185477327895
SI,1998,1.33333333333,1.75,1.66666666667,7.15,2.1640254812,0.317449242968,3.82866046673,0.225648146803
SI,2001,0.0,4.75,4.0,8.57936507937,0.0,0.489518729627,4.16177072006,0.168810587012
SI,2004,0.0,6.87619047619,0.5,3.76666666667,0.0,0.42978409867,0.232834811946,0.0494647246067
SI,2007,0.0,1.63333333333,1.0,2.14761904762,0.0,0.0856300282721,0.357219428239,0.0249206850249
SI,2010,0.866666666667,5.83333333333,3.33333333333,12.2178571429,0.304942818579,0.276514746328,0.519434682426,0.132924374665
SK,1998,0.0,0.0,2.5,0.75,0.0,0.0,6.57769354494,0.0271095629126
SK,2001,0.0,6.83333333333,2.0,2.54583333333,0.0,0.993130666046,2.93458191799,0.0706435608692
SK,2004,0.0,9.06,5.0,7.46,0.0,1.1580275035,4.76141620219,0.200338983522
SK,2007,3.0,2.57142857143,2.5,5.69646825397,3.1995972073,0.260043561383,1.72264369013,0.127505461774
